date  close volume
05/01/2009  3359.9  2798939
06/01/2009  3396.2  3181606
07/01/2009  3346.0  3381029
08/01/2009  3324.3  2647645
09/01/2009  3299.5  2662143
12/01/2009  3246.1  2285362
13/01/2009  3197.8  3255900
14/01/2009  3052  3806363
15/01/2009  2995.8  3483500
16/01/2009  3016.7  3733719
19/01/2009  2989.6  2579123
20/01/2009  2925.2  3066935
21/01/2009  2905.5  4402748
22/01/2009  2869.6  3234171
23/01/2009  2849.1  3340411
26/01/2009  2955.3  3335044
27/01/2009  2954.5  2798626
28/01/2009  3076.0  3883534
29/01/2009  3009.7  2994309
30/01/2009  2973.9  3591373
02/02/2009  2930.0  2447332
03/02/2009  2982.3  2357892
04/02/2009  3068.9  3011856
05/02/2009  3066.2  2650134
06/02/2009  3122.7  3660374
09/02/2009  3134.8  2827344
10/02/2009  3020.7  2854689
11/02/2009  3027.7  2748290
12/02/2009  2964.3  3182677
13/02/2009  2997.8  2539802
16/02/2009  2962.2  1831480
17/02/2009  2875.2  3342279
18/02/2009  2874.0  2998098
19/02/2009  2872.6  2979604
20/02/2009  2750.5  4228290
23/02/2009  2727.8  2733548
24/02/2009  2708.0  3224057
25/02/2009  2696.9  3053554
26/02/2009  2744.8  3619023
27/02/2009  2702.4  3655377
02/03/2009  2581.4  3232256
03/03/2009  2554.5  3065309
04/03/2009  2675.6  4366320
05/03/2009  2569.6  3416260
06/03/2009  2534.4  3720853
09/03/2009  2519.2  3321310
10/03/2009  2663.6  3805052
11/03/2009  2674.2  3990940
12/03/2009  2694.2  3222688
13/03/2009  2705.6  3304105
16/03/2009  2791.6  3059101
17/03/2009  2767.2  3011059
18/03/2009  2760.3  2806983
19/03/2009  2776.9  4017787
20/03/2009  2791.1  4104790
23/03/2009  2869.5  3056698
24/03/2009  2874.3  3501738
25/03/2009  2893.4  2941053
26/03/2009  2892.0  2297002
27/03/2009  2840.6  2524050
30/03/2009  2719.3  2584887
31/03/2009  2807.3  2529427
01/04/2009  2839.6  2837561
02/04/2009  2992.0  5150731
03/04/2009  2958.7  3890918
06/04/2009  2929.7  3300417
07/04/2009  2902.3  2874634
08/04/2009  2921.0  2906287
09/04/2009  2974.1  2922790
14/04/2009  3000.2  3770845
15/04/2009  2985.7  2709649
16/04/2009  3038.1  3018950
17/04/2009  3091.9  4521076
20/04/2009  2969.4  3462951
21/04/2009  2973.9  3890388
22/04/2009  3025.2  3683587
23/04/2009  3008.6  3508786
24/04/2009  3102.8  3336729
27/04/2009  3102.4  2695847
28/04/2009  3051.0  3293712
29/04/2009  3116.9  3952654
30/04/2009  3159.8  4674779
04/05/2009  3237.9  2986164
05/05/2009  3225  4092383
06/05/2009  3283.5  4448579
07/05/2009  3251.5  5273997
08/05/2009  3312.5  3317788
11/05/2009  3248.6  3589770
12/05/2009  3231.1  3198565
13/05/2009  3152.9  4344964
14/05/2009  3156.2  3611767
15/05/2009  3169.0  3030090
18/05/2009  3245.3  2798055
19/05/2009  3274.9  3844404
20/05/2009  3303.3  3188957
21/05/2009  3217.4  2209060
22/05/2009  3227.9  2359442
25/05/2009  3236.1  1274161
26/05/2009  3270.0  2967681
27/05/2009  3294.8  3079509
28/05/2009  3263.7  3024918
29/05/2009  3277.6  4016895
01/06/2009  3379.4  3311904
02/06/2009  3378.0  3462537
03/06/2009  3309.6  3148833
04/06/2009  3312.0  3037067
05/06/2009  3339.0  3253751
08/06/2009  3289.6  2730349
09/06/2009  3296.7  3064879
10/06/2009  3315.2  3094611
11/06/2009  3334.9  2646892
12/06/2009  3326.1  2504420
15/06/2009  3219.5  3223315
16/06/2009  3213.9  2443483
17/06/2009  3161.1  3593530
18/06/2009  3194.0  2902212
19/06/2009  3221.2  5243297
22/06/2009  3123.2  2928505
23/06/2009  3116.8  2880077
24/06/2009  3184.7  3075143
25/06/2009  3163.1  2777523
26/06/2009  3129.7  3121050
29/06/2009  3193.6  2515461
30/06/2009  3140.4  3240969
01/07/2009  3217  2872101
02/07/2009  3116.4  3070595
03/07/2009  3119.5  1823296
06/07/2009  3082.1  2338349
07/07/2009  3048.5  2422941
08/07/2009  3009.7  2610797
09/07/2009  3025.9  2109268
10/07/2009  2983.1  2072437
13/07/2009  3052.0  1874735
14/07/2009  3081.8  1971569
15/07/2009  3171.2  2916761
16/07/2009  3199.6  2823840
17/07/2009  3218.4  2822147
20/07/2009  3270.9  2490983
21/07/2009  3302.8  2540744
22/07/2009  3305.0  2477193
23/07/2009  3373.7  3169283
24/07/2009  3366.4  3161923
27/07/2009  3372.3  2739074
28/07/2009  3330.9  2839794
29/07/2009  3365.6  3254879
30/07/2009  3435.4  3514057
31/07/2009  3426.2  4201951
03/08/2009  3477.8  3401361
04/08/2009  3476.3  2985627
05/08/2009  3458.5  3472443
06/08/2009  3477.8  2922263
07/08/2009  3521.1  3551697
10/08/2009  3504.5  2091477
11/08/2009  3456.1  2653974
12/08/2009  3507.2  2502963
13/08/2009  3524.3  2872275
14/08/2009  3495.2  2748265
17/08/2009  3419.6  2835014
18/08/2009  3450.6  1844735
19/08/2009  3450.3  2132861
20/08/2009  3505.3  2485341
21/08/2009  3615.8  4055922
24/08/2009  3652.1  2736105
25/08/2009  3680.6  2877158
26/08/2009  3668.3  3301617
27/08/2009  3648.5  2917953
28/08/2009  3693.1  3513268
31/08/2009  3653.5  2247572
01/09/2009  3583.4  3490053
02/09/2009  3573.1  3641676
03/09/2009  3553.5  2896353
04/09/2009  3598.7  3095232
07/09/2009  3652.8  2334291
08/09/2009  3660.9  3285633
09/09/2009  3707.6  3758866
10/09/2009  3705.8  3473670
11/09/2009  3734.8  3516799
14/09/2009  3730.6  2919713
15/09/2009  3752.2  3557873
16/09/2009  3813.7  4184639
17/09/2009  3835.2  4242941
18/09/2009  3827.8  7365628
21/09/2009  3812.1  3189812
22/09/2009  3823.5  3060287
23/09/2009  3821.7  2992532
24/09/2009  3758.3  3792316
25/09/2009  3739.1  3098697
28/09/2009  3825  3099658
29/09/2009  3814.1  3804504
30/09/2009  3795.4  4059167
01/10/2009  3720.7  3572648
02/10/2009  3649.9  4276141
05/10/2009  3675.0  3096253
06/10/2009  3770.2  4361740
07/10/2009  3756.4  3743897
08/10/2009  3806.8  4113413
09/10/2009  3799.6  3040303
12/10/2009  3845.8  3333121
13/10/2009  3801.3  3695670
14/10/2009  3882.6  4515652
15/10/2009  3883.8  3807244
16/10/2009  3827.6  4569537
19/10/2009  3892.3  3114402
20/10/2009  3871.4  3422501
21/10/2009  3873.2  3723092
22/10/2009  3820.8  3343681
23/10/2009  3808.2  4272950
26/10/2009  3744.4  3222216
27/10/2009  3743.9  3720264
28/10/2009  3663.7  4575560
29/10/2009  3714.0  4187657
30/10/2009  3607.6  4845111
02/11/2009  3639.4  3319520
03/11/2009  3584.2  3652858
04/11/2009  3670.3  3538699
05/11/2009  3708.7  2902475
06/11/2009  3707.2  3334666
09/11/2009  3785.4  3363715
10/11/2009  3785.5  2686195
11/11/2009  3814.3  2840001
12/11/2009  3808.0  3119778
13/11/2009  3806.0  2591713
16/11/2009  3863.1  3224976
17/11/2009  3829.0  2824033
18/11/2009  3828.1  2917067
19/11/2009  3760.2  3420626
20/11/2009  3729.3  3823070
23/11/2009  3813.1  3019927
24/11/2009  3784.6  3283072
25/11/2009  3809.1  2798576
26/11/2009  3679.2  3546814
27/11/2009  3721.4  3312447
30/11/2009  3680.1  3406584
01/12/2009  3775.7  2891589
02/12/2009  3795.9  2981516
03/12/2009  3799.1  3044678
04/12/2009  3846.6  3381728
07/12/2009  3840.0  2190073
08/12/2009  3785.3  3247490
09/12/2009  3757.3  3085943
10/12/2009  3798.3  3069241
11/12/2009  3803.7  3050143
14/12/2009  3830.4  2368773
